held_out,coverage,autonomy_rate,singleton_accuracy
B6,0.9067524115755627,0.31511254019292606,0.8367346938775511
B7,0.9710610932475884,0.15434083601286175,0.9583333333333334
B8,0.9421221864951769,0.14469453376205788,0.9777777777777777
