held_out,feature,weight
B6,tam_p90,0.9780636473056631
B6,scr_std,2.212871674969909
B6,confidence_set_size,0.26625405199299546
B6,scr_residual,-1.3142861624724178
B6,intercept,3.6720257234726685
B7,tam_p90,0.7934937510419507
B7,scr_std,1.7245756888354358
B7,confidence_set_size,0.2930334453810536
B7,scr_residual,-0.668219537281997
B7,intercept,3.5980707395498404
B8,tam_p90,0.8387720090042619
B8,scr_std,1.4985257005603219
B8,confidence_set_size,0.37957851342311
B8,scr_residual,-0.5111108499686612
B8,intercept,3.6623794212218637
