held_out,feature_set,accuracy,mace
B6,Thermal-only (TAM/SCR),0.6109324758842444,0.4180064308681672
B6,Process-only (speed/hatch),0.2315112540192926,1.2379421221864952
B6,Combined (all features),0.6109324758842444,0.4180064308681672
B7,Thermal-only (TAM/SCR),0.7266881028938906,0.28938906752411575
B7,Process-only (speed/hatch),0.16720257234726688,1.2090032154340835
B7,Combined (all features),0.7266881028938906,0.28938906752411575
B8,Thermal-only (TAM/SCR),0.6430868167202572,0.3987138263665595
B8,Process-only (speed/hatch),0.20257234726688103,1.1543408360128617
B8,Combined (all features),0.6430868167202572,0.3987138263665595
