held_out,model,accuracy,mace
B6,HistGradientBoosting,0.7266881028938906,0.3215434083601286
B6,ExtraTrees,0.7717041800643086,0.2797427652733119
B6,LightGBM,0.7331189710610932,0.31511254019292606
B6,CatBoost,0.7427652733118971,0.2958199356913183
B6,Random Forest (recomputed),0.77491961414791,0.2861736334405145
B6,Ordinal Logistic (ours),0.6109324758842444,0.4180064308681672
B7,HistGradientBoosting,0.7813504823151125,0.24437299035369775
B7,ExtraTrees,0.7942122186495176,0.22186495176848875
B7,LightGBM,0.752411575562701,0.26366559485530544
B7,CatBoost,0.8006430868167203,0.2282958199356913
B7,Random Forest (recomputed),0.8038585209003215,0.21543408360128619
B7,Ordinal Logistic (ours),0.7266881028938906,0.28938906752411575
B8,HistGradientBoosting,0.7202572347266881,0.31189710610932475
B8,ExtraTrees,0.752411575562701,0.2765273311897106
B8,LightGBM,0.7266881028938906,0.31189710610932475
B8,CatBoost,0.7395498392282959,0.2958199356913183
B8,Random Forest (recomputed),0.7491961414790996,0.2797427652733119
B8,Ordinal Logistic (ours),0.6430868167202572,0.3987138263665595
