metric,point_estimate,ci_low,ci_high
accuracy,0.654876741693462,0.6227224008574491,0.684887459807074
mace,0.3740621650589496,0.3397642015005359,0.40943193997856375
coverage,0.939978563772776,0.92497320471597,0.954983922829582
autonomy_rate,0.20471596998928188,0.18006430868167203,0.2304394426580922
singleton_accuracy,0.900523560209424,0.8556134878193702,0.9414958169799629
full_pipeline_accuracy_when_autonomous,0.9624060150375939,0.9246471564964716,0.9921275221456693
full_pipeline_unsafe_actuation_rate,0.022556390977443608,0.0,0.05224862529457968
full_pipeline_autonomy_rate,0.14255091103965703,0.12004287245444802,0.16505894962486603
