held_out,model,accuracy,macro_f1,mace
B6,"Ordinal Logistic (ours, alpha=0.01)",0.6109324758842444,0.5756994307139035,0.4180064308681672
B6,Multinomial Logistic Regression,0.6527331189710611,0.6506928224228268,0.3729903536977492
B6,Random Forest,0.77491961414791,0.7717678252947635,0.2861736334405145
B6,SVM (RBF),0.26688102893890675,0.1775037694304689,1.1639871382636655
B6,k-Nearest Neighbors,0.7170418006430869,0.7157422444174713,0.31511254019292606
B6,Decision Tree,0.6816720257234726,0.6681129762651592,0.3954983922829582
B6,Gaussian Naive Bayes,0.2347266881028939,0.12156535866428202,1.977491961414791
B6,XGBoost,0.7234726688102894,0.7175973247498467,0.3215434083601286
B6,SPC Control Chart (manufacturing baseline),0.3536977491961415,0.34950308662575835,0.8392282958199357
B6,Physics-Only VED Rule (manufacturing baseline),0.2572347266881029,0.2294650409099281,1.3504823151125402
B7,"Ordinal Logistic (ours, alpha=0.01)",0.7266881028938906,0.7274970160242081,0.28938906752411575
B7,Multinomial Logistic Regression,0.7170418006430869,0.7155481095230504,0.3054662379421222
B7,Random Forest,0.8038585209003215,0.8051798639420064,0.21543408360128619
B7,SVM (RBF),0.6913183279742765,0.67782858450132,0.3279742765273312
B7,k-Nearest Neighbors,0.7491961414790996,0.7459912231969442,0.2765273311897106
B7,Decision Tree,0.6945337620578779,0.6942900814265203,0.33440514469453375
B7,Gaussian Naive Bayes,0.6302250803858521,0.6224163333114741,0.40514469453376206
B7,XGBoost,0.7909967845659164,0.7894603845766636,0.2315112540192926
B7,SPC Control Chart (manufacturing baseline),0.36977491961414793,0.3421078875249429,0.7491961414790996
B7,Physics-Only VED Rule (manufacturing baseline),0.2604501607717042,0.23442757543141174,1.270096463022508
B8,"Ordinal Logistic (ours, alpha=0.01)",0.6430868167202572,0.615347567889455,0.3987138263665595
B8,Multinomial Logistic Regression,0.6591639871382636,0.6223418581939792,0.36977491961414793
B8,Random Forest,0.7491961414790996,0.7421811330625919,0.2797427652733119
B8,SVM (RBF),0.7138263665594855,0.7032078917048243,0.3215434083601286
B8,k-Nearest Neighbors,0.6945337620578779,0.6968674823132827,0.36977491961414793
B8,Decision Tree,0.7009646302250804,0.6940423522011309,0.3408360128617363
B8,Gaussian Naive Bayes,0.6430868167202572,0.6157488297143471,0.40836012861736337
B8,XGBoost,0.7138263665594855,0.7093626712409037,0.3215434083601286
B8,SPC Control Chart (manufacturing baseline),0.3762057877813505,0.34378209065020965,0.8360128617363344
B8,Physics-Only VED Rule (manufacturing baseline),0.24437299035369775,0.21667297425240917,1.2668810289389068
