metal_fraction,porosity_fraction,n_components,specimen_area,z_index,build_z_um,approx_layer
0.02080812949606067,4.5626682483916596e-05,47,21917,91,-577.3635,-14.434088
0.023522612499623428,0.00026497085320614734,56,22644,92,-575.36096,-14.384024
0.02671989928506987,0.0,74,23366,93,-573.3585,-14.333963
0.030804308290430654,0.0,95,24137,94,-571.356,-14.2839
0.03613179829742299,4.017839206074973e-05,97,24889,95,-569.3535,-14.233838
0.04217279143035179,0.0001568812017100051,113,25497,96,-567.351,-14.183775
0.049391064721075774,0.09246432196811369,95,33494,97,-565.3485,-14.133713
0.05724673413763634,0.07164415853363001,94,45391,98,-563.346,-14.083651
0.06492402777271279,0.0350187195098892,105,52886,99,-561.3435,-14.033587
0.07233177578243545,0.03413063627050846,113,61499,100,-559.341,-13.983525
0.07975062272967269,0.02063935216990923,120,68413,101,-557.3385,-13.933462
0.08724161277075462,0.0202284751651707,121,75982,102,-555.336,-13.8834
0.09540012462521266,0.0366010854816825,119,88440,103,-553.3335,-13.833338
0.10333427938562624,0.026140383160563496,127,97818,104,-551.331,-13.783275
0.11132551439611474,0.013585638039786511,121,105111,105,-549.3285,-13.733212
0.11899567299993181,0.01926730457262325,98,115273,106,-547.326,-13.683149
0.12735000182339687,0.03831668577042738,110,128247,107,-545.3235,-13.633087
0.1353166606151031,0.029529474600700923,121,136677,108,-543.321,-13.583025
0.1438747342200856,0.02152926807388955,132,144919,109,-541.3185,-13.532962
0.15281651395057166,0.012549717940052512,133,153868,110,-539.316,-13.4829
0.1618645263686972,0.0193736571078755,103,166618,111,-537.3135,-13.432837
0.1703663125048558,0.009649792931526678,99,174097,112,-535.31104,-13.382776
0.1781133708900238,0.00525929013293555,100,182344,113,-533.3085,-13.332712
0.18608637193173835,0.01171163627990706,114,191092,114,-531.306,-13.282651
0.19448747484901482,0.009320772435289063,123,200198,115,-529.30347,-13.232587
0.203215996422971,0.009394447957325625,104,210337,116,-527.301,-13.182526
0.21159965815272455,0.009853176431801407,102,266919,117,-525.29846,-13.132462
0.21986915938232826,0.010826387785465628,97,276916,118,-523.296,-13.0824
0.2277200721113826,0.008262997005706893,119,287547,119,-521.2935,-13.032338
0.23548695002782663,0.006760459213689006,98,297465,120,-519.291,-12.982275
0.24249513628702488,0.008972993050328911,79,306921,121,-517.2885,-12.932213
0.248679622826392,0.005082442500294381,70,314219,122,-515.286,-12.882151
0.2540530941459447,0.0027362647328311113,70,319779,123,-513.2835,-12.8320875
0.25932667502786627,0.0026447674223290447,73,327439,124,-511.281,-12.782025
0.264407610065785,0.004201504766689393,71,334404,125,-509.2785,-12.731962
0.26880992435281303,0.0019065748838963672,81,339352,126,-507.276,-12.6819
0.27240201620127763,0.0012523518001829016,109,343354,127,-505.2735,-12.631838
0.2756936439555979,0.0017447642699871802,79,347898,128,-503.271,-12.581775
0.27871651886581544,0.006394809485021269,88,353568,129,-501.2685,-12.531713
0.28133428255675125,0.005452281319766203,69,356548,130,-499.266,-12.481649
0.2836119430909907,0.0037236785261368227,60,358785,131,-497.2635,-12.431587
0.28527123424941847,0.002541133911653984,63,360469,132,-495.261,-12.381525
0.2866593942199905,0.002550534535728186,55,362277,133,-493.25848,-12.331462
0.28834326159720053,0.002445531347265451,52,364338,134,-491.25598,-12.2814
0.2898225914116421,0.002615535406650231,50,366273,135,-489.2535,-12.231338
0.29139864053871073,0.0026961276764429576,42,368306,136,-487.251,-12.181275
0.29327118985366846,0.0020544635312475536,41,370413,137,-485.2485,-12.131212
0.29524521516875935,0.004470456751272021,28,374011,138,-483.246,-12.08115
0.2971058727649515,0.0033649255061353367,34,375937,139,-481.2435,-12.031088
0.29863911170446383,0.0017679224128562682,27,377279,140,-479.241,-11.981025
0.30002647889378475,0.001438442575788768,34,378882,141,-477.2385,-11.930963
0.3015985641145981,0.0014779773499314828,25,380926,142,-475.236,-11.880899
0.3029756251476555,0.0012890540226068177,25,382451,143,-473.2335,-11.830837
0.3044945940246492,0.0040797165725193615,15,385566,144,-471.231,-11.780775
0.3058391510264139,0.0020359485916513174,12,386552,145,-469.2285,-11.730712
0.3066549229337346,0.001172369270497095,10,387250,146,-467.22598,-11.68065
0.30724871609076393,0.000928062283291012,7,387905,147,-465.22348,-11.630587
0.3076046748724811,0.0008317732220525485,3,388327,148,-463.221,-11.580525
0.3078892833416047,0.0006818965472875956,6,388622,149,-461.2185,-11.530462
0.3081675495607199,0.0005939249957576786,5,388938,150,-459.216,-11.4804
0.30832927693593215,0.0005191200657894737,4,389120,151,-457.2135,-11.430338
0.30837208712348835,0.0004753889838239262,5,389155,152,-455.211,-11.380275
0.3084212395610529,0.0004470617253499414,4,389208,153,-453.2085,-11.330213
0.30849576099865067,0.00036992223926262166,5,389271,154,-451.206,-11.280149
0.30858058859251203,0.00026711802764157897,2,389341,155,-449.2035,-11.230087
0.3086424255300932,0.00023112243325697733,2,389404,156,-447.201,-11.180025
0.3087304242489587,0.0002618553736830215,2,389528,157,-445.1985,-11.129962
0.30888025990540535,0.00018989550614850856,3,389688,158,-443.19598,-11.0799
0.3090768696556634,0.00020002974801380718,1,389942,159,-441.19348,-11.029837
