layer,pore_count,diameter_p90_um,max_diameter_um,total_pore_volume_um3,volume_fraction,specimen_voxels
0,7,10.879420132985622,13.11229673265294,2071.7497730255127,5.5819182197055994e-05,4622067
1,6,10.630460401192206,15.13360764647342,1983.4193563461304,5.9114441729913535e-05,4178336
2,5,3.5428664963269805,4.248441658127856,72.27034091949463,2.187915703983757e-06,4113504
3,1,2.4845037536256664,2.4845037536256664,8.030037879943848,2.41808612352261e-07,4135502
4,2,2.4845037536256664,2.4845037536256664,16.060075759887695,4.875571752204917e-07,4102083
5,3,4.917290257131705,5.525486883008214,104.39049243927002,3.217111469447835e-06,4040892
6,3,2.4845037536256664,2.4845037536256664,24.090113639831543,7.387566774369182e-07,4060877
7,2,3.065701095324789,3.130278577735803,24.090113639831543,7.316421830739459e-07,4100365
8,15,7.45695821411594,12.011552349042947,1702.3680305480957,5.14820016979347e-05,4117944
9,2,3.7979638602744576,3.943903872124323,40.15018939971924,1.2217966568711156e-06,4092334
10,5,6.909793389347075,8.20365064407757,393.47185611724854,1.2146954349514481e-05,4033933
11,12,11.670715760913861,19.151148178181423,5187.404470443726,0.00016137912703385163,4002996
12,8,4.650952305752763,4.969007507251333,160.60075759887695,5.263159279778758e-06,3799999
13,10,4.186667778330549,9.61720754346167,586.1927652359009,1.811943587494412e-05,4028823
14,7,2.742813683269721,3.130278577735803,64.24030303955078,1.9711167337215942e-06,4058613
15,9,12.849864546878893,18.27541921507096,4914.383182525635,0.00015208433822065797,4024083
16,6,3.356776524414782,3.5832744710937607,80.30037879943848,2.531579556279925e-06,3950103
17,1,2.4845037536256664,2.4845037536256664,8.030037879943848,2.5093391329179374e-07,3985113
18,5,6.228218259017464,6.388358763618959,401.5018939971924,1.2528445836271255e-05,3990918
19,7,7.8207549646716235,10.569876158506224,794.9737501144409,2.4916836910745122e-05,3973217
21,3,3.6520238484245917,3.943903872124323,48.180227279663086,1.5141978763879516e-06,3962494
