feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
severity,0.20458962259364322,0.33757354029636244,0.18384235981510239,0.389830763876253,24
risk_score,0.2721739130434782,0.1982171723154793,0.23139116898757128,0.27663256474715975,24
tam_p90,0.21130434782608692,0.321605035459752,0.2140611932190739,0.3151840816203919,24
tam_mean,0.1869565217391304,0.381708968635058,0.2295894321604267,0.280494742259549,24
scr_std,0.1452173913043478,0.4983794692456114,0.03402906797384672,0.8745722449949129,24
