held_out,model,accuracy,mace,n_features
B6,Independent-layer (baseline),0.6136363636363636,0.41883116883116883,9
B6,Temporal-augmented,0.672077922077922,0.33766233766233766,21
B7,Independent-layer (baseline),0.7272727272727273,0.2857142857142857,9
B7,Temporal-augmented,0.8311688311688312,0.17207792207792208,21
B8,Independent-layer (baseline),0.6428571428571429,0.39935064935064934,9
B8,Temporal-augmented,0.7207792207792207,0.2824675324675325,21
