predictor,spearman_rho,p_value,n
local_tam_p90,0.20705779060017115,0.367816166604473,21
local_tam_p90_lag1,-0.19281973583494852,0.4153713579000935,20
local_tam_p90_lag2,-0.008826293787873404,0.9713928029298584,19
local_tam_p90_lag3,-0.39751555811165273,0.10234778319730384,18
local_scr_std_spatial,-0.08883236442152452,0.701784524874973,21
local_scr_std_lag1,-0.24045755292358287,0.3071594277193073,20
local_scr_std_lag2,0.09267608477267072,0.7059100541243895,19
local_scr_std_lag3,0.3227867847851802,0.19139733903971945,18
