feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
severity,-0.18900330021130754,0.3764239449155141,-0.2517833107328996,0.2352775722081059,24
risk_score,-0.16383481148040374,0.4442909470527219,-0.20292741591452235,0.3415983416487272,24
tam_p90,-0.10718979687281735,0.6181118521936615,-0.2011202305937084,0.3460064305489968,24
tam_mean,-0.1708065055859529,0.42487193386353983,-0.24304758536582508,0.2524640226164319,24
scr_std,0.1769067379283083,0.4082660109806985,0.19309416170426147,0.3659875712089976,24
