condition,autonomy_rate,accuracy_when_autonomous,unsafe_actuation_rate,n_autonomous,n_total
1. Full pipeline (Gate2 + Gate3),0.14255091103965703,0.9624060150375939,0.022556390977443608,133,933
2. No Gate 2 (confidence removed),0.4587352625937835,0.6869158878504673,0.08878504672897196,428,933
3. No Gate 3 (physics removed),0.20471596998928188,0.900523560209424,0.08376963350785341,191,933
"4. No gating (raw predictions, baseline)",1.0,0.654876741693462,0.15434083601286175,933,933
