target_confidence,mean_autonomy_rate,mean_error_when_autonomous
0.5,0.8735262593783494,0.32880935742570966
0.6,0.6548767416934619,0.277164150417143
0.7,0.4190782422293677,0.1912662499523707
0.75,0.37727759914255093,0.18388091440723017
0.8,0.2979635584137192,0.133535447761194
0.85,0.2658092175777063,0.11108458661573961
0.9,0.18435155412647375,0.06132756132756134
0.95,0.15005359056806003,0.021164021164021163
0.99,0.031082529474812434,0.0
